risk_measure,asset,probability_level,stress_regime,observations,baseline_mean,regime_mean,mean_difference,mean_ratio,baseline_median,regime_median,median_difference,min_difference,max_difference
ES,BBVA.MC,0.99,0,4221,0.061295,0.0558,-0.005495,0.910295,0.056943,0.051835,-0.005108,-0.018127,-0.002324
ES,BBVA.MC,0.99,1,1055,0.101832,0.129844,0.028012,1.27526,0.095524,0.121808,0.026284,0.011079,0.076477
ES,BBVA.MC,0.995,0,4221,0.071911,0.064327,-0.007584,0.894474,0.06681,0.059761,-0.00705,-0.02502,-0.003208
ES,BBVA.MC,0.995,1,1055,0.119416,0.155936,0.03652,1.305999,0.112023,0.146291,0.034268,0.014444,0.099707
ES,BNP.PA,0.99,0,4221,0.059412,0.054663,-0.004749,0.920027,0.05473,0.050353,-0.004377,-0.019572,-0.002438
ES,BNP.PA,0.99,1,1055,0.11364,0.135965,0.022325,1.196592,0.094469,0.11304,0.018571,0.008087,0.060343
ES,BNP.PA,0.995,0,4221,0.068699,0.062573,-0.006125,0.910796,0.063289,0.057644,-0.005646,-0.025245,-0.003145
ES,BNP.PA,0.995,1,1055,0.131349,0.158915,0.027566,1.209995,0.1092,0.132131,0.022931,0.009986,0.074509
ES,CBK.DE,0.99,0,4221,0.081388,0.072842,-0.008546,0.894962,0.076896,0.06882,-0.008076,-0.022541,-0.004081
ES,CBK.DE,0.99,1,1055,0.144012,0.185979,0.041967,1.291534,0.12168,0.157153,0.035473,0.015831,0.109982
ES,CBK.DE,0.995,0,4221,0.097682,0.084914,-0.012768,0.869256,0.092294,0.080228,-0.012066,-0.033676,-0.006097
ES,CBK.DE,0.995,1,1055,0.172797,0.228391,0.055594,1.321845,0.14601,0.193002,0.046991,0.020971,0.145695
ES,DBK.DE,0.99,0,4221,0.073225,0.064914,-0.008311,0.886466,0.06968,0.06177,-0.00791,-0.022113,-0.004279
ES,DBK.DE,0.99,1,1055,0.1301,0.169455,0.039355,1.302609,0.110289,0.143664,0.033375,0.015268,0.103735
ES,DBK.DE,0.995,0,4221,0.087622,0.075564,-0.012058,0.862357,0.083382,0.071906,-0.011476,-0.032081,-0.006208
ES,DBK.DE,0.995,1,1055,0.155637,0.208406,0.052769,1.339151,0.131946,0.176696,0.04475,0.020472,0.139091
ES,GLE.PA,0.99,0,4221,0.073194,0.064558,-0.008636,0.881914,0.067878,0.059864,-0.008013,-0.036879,-0.004031
ES,GLE.PA,0.99,1,1055,0.143396,0.182516,0.039121,1.273021,0.120083,0.152865,0.032782,0.0122,0.105805
ES,GLE.PA,0.995,0,4221,0.088306,0.077815,-0.01049,0.881127,0.081899,0.072166,-0.009734,-0.044796,-0.004896
ES,GLE.PA,0.995,1,1055,0.172906,0.215256,0.04235,1.245082,0.144812,0.1803,0.035488,0.013207,0.114538
ES,INGA.AS,0.99,0,4221,0.065387,0.059508,-0.005879,0.910004,0.058919,0.053618,-0.005302,-0.022006,-0.002456
ES,INGA.AS,0.99,1,1055,0.155445,0.198178,0.042733,1.275201,0.119277,0.152099,0.032822,0.011297,0.169026
ES,INGA.AS,0.995,0,4221,0.078068,0.070566,-0.007502,0.903828,0.070355,0.06359,-0.006765,-0.028081,-0.003135
ES,INGA.AS,0.995,1,1055,0.185458,0.240998,0.05554,1.299744,0.142329,0.184988,0.042659,0.014683,0.219684
