date,asset,probability_level,stress_regime,conditional_es
2005-01-04,BBVA.MC,0.99,0,0.02333745706780068
2005-01-05,BBVA.MC,0.99,0,0.02410903566078536
2005-01-06,BBVA.MC,0.99,0,0.024812881757452433
2005-01-07,BBVA.MC,0.99,0,0.024782340085694923
2005-01-10,BBVA.MC,0.99,0,0.02515024880769654
2005-01-11,BBVA.MC,0.99,0,0.02510758858303779
2005-01-12,BBVA.MC,0.99,0,0.027769395058838433
2005-01-13,BBVA.MC,0.99,0,0.030093165726008543
2005-01-14,BBVA.MC,0.99,0,0.029853801329036787
2005-01-18,BBVA.MC,0.99,0,0.029676093111210517
2005-01-19,BBVA.MC,0.99,0,0.029551430139682044
2005-01-20,BBVA.MC,0.99,0,0.029218814070263128
2005-01-21,BBVA.MC,0.99,0,0.03136389027941013
2005-01-24,BBVA.MC,0.99,0,0.031498810047883234
2005-01-25,BBVA.MC,0.99,0,0.03262056501529848
2005-01-26,BBVA.MC,0.99,0,0.03235130164172972
2005-01-27,BBVA.MC,0.99,0,0.03188484649876451
2005-01-28,BBVA.MC,0.99,0,0.03157359032973559
2005-01-31,BBVA.MC,0.99,0,0.031125133657089025
2005-02-01,BBVA.MC,0.99,0,0.031218911142169205
2005-02-02,BBVA.MC,0.99,0,0.030907596594104105
2005-02-03,BBVA.MC,0.99,0,0.030684839212947054
2005-02-04,BBVA.MC,0.99,0,0.030290379476750895
2005-02-07,BBVA.MC,0.99,0,0.030002020854626204
2005-02-08,BBVA.MC,0.99,0,0.029643046912385666
2005-02-09,BBVA.MC,0.99,0,0.029371058852881677
2005-02-10,BBVA.MC,0.99,0,0.029257916335209282
2005-02-11,BBVA.MC,0.99,0,0.0291793870725802
2005-02-14,BBVA.MC,0.99,0,0.029199544014417468
2005-02-15,BBVA.MC,0.99,0,0.029190339865839365
2005-02-16,BBVA.MC,0.99,0,0.028882781629570278
2005-02-17,BBVA.MC,0.99,0,0.03252950812175376
2005-02-18,BBVA.MC,0.99,0,0.03206635681212743
2005-02-22,BBVA.MC,0.99,0,0.031998513817623406
2005-02-23,BBVA.MC,0.99,0,0.033722869734183106
2005-02-24,BBVA.MC,0.99,0,0.03315687543895555
2005-02-25,BBVA.MC,0.99,0,0.03262498530050839
2005-02-28,BBVA.MC,0.99,0,0.03248242349604187
2005-03-01,BBVA.MC,0.99,0,0.03210123097896864
2005-03-02,BBVA.MC,0.99,0,0.03184299289155384
2005-03-03,BBVA.MC,0.99,0,0.03157316558956595
2005-03-04,BBVA.MC,0.99,0,0.03180691500634081
2005-03-07,BBVA.MC,0.99,0,0.03145794981592466
2005-03-08,BBVA.MC,0.99,0,0.031015919905783586
2005-03-09,BBVA.MC,0.99,0,0.03089380831548409
2005-03-10,BBVA.MC,0.99,0,0.03135425054358036
2005-03-11,BBVA.MC,0.99,0,0.03121575492772084
2005-03-14,BBVA.MC,0.99,0,0.03108831859188221
2005-03-15,BBVA.MC,0.99,0,0.03138220657347638
2005-03-16,BBVA.MC,0.99,0,0.030944467801213186
2005-03-17,BBVA.MC,0.99,0,0.0365462951617398
2005-03-18,BBVA.MC,0.99,0,0.035891408932472085
2005-03-21,BBVA.MC,0.99,0,0.035223106779728945
2005-03-22,BBVA.MC,0.99,0,0.04239854816757179
2005-03-23,BBVA.MC,0.99,0,0.04187160841232807
2005-03-24,BBVA.MC,0.99,0,0.04094975877477383
2005-03-28,BBVA.MC,0.99,0,0.039230320451328654
2005-03-29,BBVA.MC,0.99,0,0.038385902965612034
2005-03-30,BBVA.MC,0.99,0,0.03759124193997923
2005-03-31,BBVA.MC,0.99,0,0.03719675336971519
2005-04-01,BBVA.MC,0.99,0,0.0365075825558566
2005-04-04,BBVA.MC,0.99,0,0.036050036998370664
2005-04-05,BBVA.MC,0.99,0,0.03652966724709036
2005-04-06,BBVA.MC,0.99,0,0.03607045087506712
2005-04-07,BBVA.MC,0.99,0,0.03578047953749506
2005-04-08,BBVA.MC,0.99,0,0.035164156018440446
2005-04-11,BBVA.MC,0.99,0,0.03452567115146074
2005-04-12,BBVA.MC,0.99,0,0.034092119936874624
2005-04-13,BBVA.MC,0.99,0,0.033701183790787945
