date,asset,probability_level,stress_regime,conditional_var
2005-01-04,BBVA.MC,0.99,0,0.018254183594973633
2005-01-05,BBVA.MC,0.99,0,0.018860968446924385
2005-01-06,BBVA.MC,0.99,0,0.01941448710781694
2005-01-07,BBVA.MC,0.99,0,0.01939046852572536
2005-01-10,BBVA.MC,0.99,0,0.019679799309965475
2005-01-11,BBVA.MC,0.99,0,0.019646250455267973
2005-01-12,BBVA.MC,0.99,0,0.021739548355216725
2005-01-13,BBVA.MC,0.99,0,0.023567008128033813
2005-01-14,BBVA.MC,0.99,0,0.023378767174358633
2005-01-18,BBVA.MC,0.99,0,0.02323901387427416
2005-01-19,BBVA.MC,0.99,0,0.023140976417804514
2005-01-20,BBVA.MC,0.99,0,0.022879400482088006
2005-01-21,BBVA.MC,0.99,0,0.024566331355786033
2005-01-24,BBVA.MC,0.99,0,0.024672434962706356
2005-01-25,BBVA.MC,0.99,0,0.025554605525778984
2005-01-26,BBVA.MC,0.99,0,0.02534285141835272
2005-01-27,BBVA.MC,0.99,0,0.024976021755841037
2005-01-28,BBVA.MC,0.99,0,0.024731243673400485
2005-01-31,BBVA.MC,0.99,0,0.02437856836826332
2005-02-01,BBVA.MC,0.99,0,0.02445231685988564
2005-02-02,BBVA.MC,0.99,0,0.02420749286700233
2005-02-03,BBVA.MC,0.99,0,0.024032312003023897
2005-02-04,BBVA.MC,0.99,0,0.023722100969689706
2005-02-07,BBVA.MC,0.99,0,0.02349532997652644
2005-02-08,BBVA.MC,0.99,0,0.023213025681958058
2005-02-09,BBVA.MC,0.99,0,0.022999128826966156
2005-02-10,BBVA.MC,0.99,0,0.022910151286039824
2005-02-11,BBVA.MC,0.99,0,0.02284839430181108
2005-02-14,BBVA.MC,0.99,0,0.02286424612439884
2005-02-15,BBVA.MC,0.99,0,0.022857007797696834
2005-02-16,BBVA.MC,0.99,0,0.022615137843608468
2005-02-17,BBVA.MC,0.99,0,0.02548299656180436
2005-02-18,BBVA.MC,0.99,0,0.02511876509997065
2005-02-22,BBVA.MC,0.99,0,0.025065412010926567
2005-02-23,BBVA.MC,0.99,0,0.026421480024027666
2005-02-24,BBVA.MC,0.99,0,0.025976370779477332
2005-02-25,BBVA.MC,0.99,0,0.025558081726558865
2005-02-28,BBVA.MC,0.99,0,0.025445968269545465
2005-03-01,BBVA.MC,0.99,0,0.025146190842929367
2005-03-02,BBVA.MC,0.99,0,0.024943107241252586
2005-03-03,BBVA.MC,0.99,0,0.024730909649228097
2005-03-04,BBVA.MC,0.99,0,0.02491473487006872
2005-03-07,BBVA.MC,0.99,0,0.024640301658302787
