asset,probability_level,observations,mean_score,median_score,std_score,min_score,max_score,violation_count,mean_loss,mean_var,mean_es,violation_rate
BBVA.MC,0.99,5276,0.030389,0.012369,0.222985,0.005083,10.274532,47,-0.000266,0.053926,0.070606,0.008908
BBVA.MC,0.995,5276,0.033549,0.012931,0.329893,0.005325,17.171115,27,-0.000266,0.064565,0.082645,0.005118
BNP.PA,0.99,5276,0.025591,0.011403,0.217856,0.005815,12.860929,49,-0.000301,0.055577,0.07092,0.009287
BNP.PA,0.995,5276,0.026986,0.011554,0.372307,0.005905,23.357884,21,-0.000301,0.065667,0.081838,0.00398
CBK.DE,0.99,5276,0.045712,0.01724,0.296857,0.007932,9.547558,61,0.00025,0.070947,0.095465,0.011562
CBK.DE,0.995,5276,0.047416,0.018882,0.374732,0.008713,15.565575,34,0.00025,0.085706,0.113604,0.006444
DBK.DE,0.99,5276,0.039078,0.015584,0.235389,0.007625,6.070166,49,7.2e-05,0.063733,0.085818,0.009287
DBK.DE,0.995,5276,0.043306,0.016732,0.305947,0.008203,8.258485,26,7.2e-05,0.077079,0.102127,0.004928
GLE.PA,0.99,5276,0.039189,0.017967,0.29248,0.008183,13.800704,49,-0.000146,0.06511,0.088145,0.009287
GLE.PA,0.995,5276,0.045103,0.021216,0.475715,0.009715,23.75397,24,-0.000146,0.07875,0.105298,0.004549
INGA.AS,0.99,5276,0.03866,0.01535,0.240869,0.006326,9.335221,49,-0.000195,0.063683,0.087237,0.009287
INGA.AS,0.995,5276,0.043202,0.01697,0.344538,0.007018,15.367421,28,-0.000195,0.077899,0.104646,0.005307
ISP.MI,0.99,5276,0.031798,0.01207,0.28276,0.005858,16.85863,53,-0.000317,0.056981,0.07448,0.010045
ISP.MI,0.995,5276,0.033703,0.013032,0.463142,0.006345,29.682866,26,-0.000317,0.067814,0.087276,0.004928
SAN.MC,0.99,5276,0.028223,0.010077,0.262342,0.004366,14.262419,57,-0.000264,0.05308,0.06867,0.010804
SAN.MC,0.995,5276,0.030224,0.010023,0.43118,0.004359,24.842549,23,-0.000264,0.062838,0.080005,0.004359
