asset,probability_level,residual_var,residual_es,shape_xi,scale_beta,threshold_quantile,threshold_value,exceedance_count
BBVA.MC,0.99,2.678238,3.511166,0.127067,0.592461,0.95,1.618724,270
BBVA.MC,0.995,3.205079,4.114695,0.127067,0.592461,0.95,1.618724,270
BNP.PA,0.99,2.694008,3.446852,0.073252,0.620012,0.95,1.633511,270
BNP.PA,0.995,3.190102,3.982158,0.073252,0.620012,0.95,1.633511,270
CBK.DE,0.99,2.573711,3.505166,0.226608,0.499999,0.95,1.601188,270
CBK.DE,0.995,3.114392,4.204269,0.226608,0.499999,0.95,1.601188,270
DBK.DE,0.99,2.700456,3.665683,0.201685,0.556741,0.95,1.640318,270
DBK.DE,0.995,3.2737,4.383751,0.201685,0.556741,0.95,1.640318,270
GLE.PA,0.99,2.645236,3.64461,0.216987,0.551617,0.95,1.581089,270
GLE.PA,0.995,3.230554,4.392129,0.216987,0.551617,0.95,1.581089,270
INGA.AS,0.99,2.770365,3.757996,0.157133,0.646225,0.95,1.58527,270
INGA.AS,0.995,3.379965,4.481242,0.157133,0.646225,0.95,1.58527,270
ISP.MI,0.99,2.715763,3.532093,0.105712,0.615687,0.95,1.634078,270
ISP.MI,0.995,3.240785,4.119176,0.105712,0.615687,0.95,1.634078,270
SAN.MC,0.99,2.638307,3.364829,0.081609,0.585008,0.95,1.630782,270
SAN.MC,0.995,3.114127,3.882932,0.081609,0.585008,0.95,1.630782,270
