asset,probability_level,residual_var,residual_es,shape_xi,scale_beta,threshold_quantile,threshold_value,exceedance_count,declustering_method,run_length
BBVA.MC,0.99,2.678238,3.511166,0.127067,0.592461,0.95,1.618724,270,none,0
BBVA.MC,0.99,2.653082,3.504445,0.077174,0.705835,0.95,1.618724,216,runs,3
BBVA.MC,0.99,2.632076,3.496742,0.057949,0.755837,0.95,1.618724,196,runs,5
BBVA.MC,0.995,3.205079,4.114695,0.127067,0.592461,0.95,1.618724,270,none,0
BBVA.MC,0.995,3.212489,4.110634,0.077174,0.705835,0.95,1.618724,216,runs,3
BBVA.MC,0.995,3.208178,4.108283,0.057949,0.755837,0.95,1.618724,196,runs,5
BNP.PA,0.99,2.694008,3.446852,0.073252,0.620012,0.95,1.633511,270,none,0
BNP.PA,0.99,2.647254,3.440263,0.062309,0.680432,0.95,1.633511,224,runs,3
BNP.PA,0.99,2.640465,3.459375,0.044951,0.736836,0.95,1.633511,203,runs,5
BNP.PA,0.995,3.190102,3.982158,0.073252,0.620012,0.95,1.633511,270,none,0
BNP.PA,0.995,3.173968,4.001977,0.062309,0.680432,0.95,1.633511,224,runs,3
BNP.PA,0.995,3.191109,4.035936,0.044951,0.736836,0.95,1.633511,203,runs,5
CBK.DE,0.99,2.573711,3.505166,0.226608,0.499999,0.95,1.601188,270,none,0
CBK.DE,0.99,2.585183,3.423133,0.09808,0.659253,0.95,1.601188,217,runs,3
CBK.DE,0.99,2.586422,3.411794,0.047104,0.740086,0.95,1.601188,196,runs,5
CBK.DE,0.995,3.114392,4.204269,0.226608,0.499999,0.95,1.601188,270,none,0
CBK.DE,0.995,3.127256,4.024154,0.09808,0.659253,0.95,1.601188,217,runs,3
CBK.DE,0.995,3.140575,3.993341,0.047104,0.740086,0.95,1.601188,196,runs,5
DBK.DE,0.99,2.700456,3.665683,0.201685,0.556741,0.95,1.640318,270,none,0
DBK.DE,0.99,2.664251,3.607139,0.13957,0.668378,0.95,1.640318,216,runs,3
DBK.DE,0.99,2.652051,3.605957,0.135186,0.688179,0.95,1.640318,206,runs,5
DBK.DE,0.995,3.2737,4.383751,0.201685,0.556741,0.95,1.640318,270,none,0
DBK.DE,0.995,3.254694,4.293356,0.13957,0.668378,0.95,1.640318,216,runs,3
DBK.DE,0.995,3.251511,4.299123,0.135186,0.688179,0.95,1.640318,206,runs,5
GLE.PA,0.99,2.645236,3.64461,0.216987,0.551617,0.95,1.581089,270,none,0
GLE.PA,0.99,2.602185,3.635148,0.193005,0.636519,0.95,1.581089,218,runs,3
GLE.PA,0.99,2.567005,3.632719,0.193213,0.669312,0.95,1.581089,197,runs,5
GLE.PA,0.995,3.230554,4.392129,0.216987,0.551617,0.95,1.581089,270,none,0
GLE.PA,0.995,3.220422,4.401247,0.193005,0.636519,0.95,1.581089,218,runs,3
GLE.PA,0.995,3.204726,4.423165,0.193213,0.669312,0.95,1.581089,197,runs,5
INGA.AS,0.99,2.770365,3.757996,0.157133,0.646225,0.95,1.58527,270,none,0
INGA.AS,0.99,2.720759,3.717986,0.121811,0.737439,0.95,1.58527,221,runs,3
INGA.AS,0.99,2.692511,3.708095,0.117981,0.765131,0.95,1.58527,205,runs,5
INGA.AS,0.995,3.379965,4.481242,0.157133,0.646225,0.95,1.58527,270,none,0
INGA.AS,0.995,3.354149,4.439231,0.121811,0.737439,0.95,1.58527,221,runs,3
INGA.AS,0.995,3.339502,4.441629,0.117981,0.765131,0.95,1.58527,205,runs,5
ISP.MI,0.99,2.715763,3.532093,0.105712,0.615687,0.95,1.634078,270,none,0
ISP.MI,0.99,2.690238,3.54213,0.07277,0.713043,0.95,1.634078,220,runs,3
ISP.MI,0.99,2.659244,3.535544,0.061214,0.759903,0.95,1.634078,197,runs,5
ISP.MI,0.995,3.240785,4.119176,0.105712,0.615687,0.95,1.634078,270,none,0
ISP.MI,0.995,3.251799,4.147762,0.07277,0.713043,0.95,1.634078,220,runs,3
ISP.MI,0.995,3.241738,4.156019,0.061214,0.759903,0.95,1.634078,197,runs,5
SAN.MC,0.99,2.638307,3.364829,0.081609,0.585008,0.95,1.630782,270,none,0
SAN.MC,0.99,2.600612,3.354995,0.062475,0.646662,0.95,1.630782,226,runs,3
SAN.MC,0.99,2.588157,3.364825,0.047685,0.69398,0.95,1.630782,205,runs,5
SAN.MC,0.995,3.114127,3.882932,0.081609,0.585008,0.95,1.630782,270,none,0
SAN.MC,0.995,3.101612,3.88938,0.062475,0.646662,0.95,1.630782,226,runs,3
SAN.MC,0.995,3.109398,3.912166,0.047685,0.69398,0.95,1.630782,205,runs,5
