asset,probability_level,residual_var,residual_es,shape_xi,scale_beta,threshold_quantile,threshold_value,exceedance_count
BBVA.MC,0.99,2.696275,3.502495,0.098624,0.579065,0.9,1.199257,539
BBVA.MC,0.99,2.678238,3.511166,0.127067,0.592461,0.95,1.618724,270
BBVA.MC,0.99,2.661796,3.515239,0.154428,0.626232,0.975,2.043933,135
BBVA.MC,0.995,3.217606,4.080868,0.098624,0.579065,0.9,1.199257,539
BBVA.MC,0.995,3.205079,4.114695,0.127067,0.592461,0.95,1.618724,270
BBVA.MC,0.995,3.189757,4.139621,0.154428,0.626232,0.975,2.043933,135
BNP.PA,0.99,2.696123,3.452932,0.070936,0.597158,0.9,1.202318,539
BNP.PA,0.99,2.694008,3.446852,0.073252,0.620012,0.95,1.633511,270
BNP.PA,0.99,2.656959,3.391866,0.144741,0.550305,0.975,2.116472,135
BNP.PA,0.995,3.195672,3.990622,0.070936,0.597158,0.9,1.202318,539
BNP.PA,0.995,3.190102,3.982158,0.073252,0.620012,0.95,1.633511,270
BNP.PA,0.995,3.115231,3.927694,0.144741,0.550305,0.975,2.116472,135
CBK.DE,0.99,2.634789,3.421779,0.099972,0.562659,0.9,1.177838,539
CBK.DE,0.99,2.573711,3.505166,0.226608,0.499999,0.95,1.601188,270
CBK.DE,0.99,2.669014,3.453987,-0.003414,0.790127,0.975,1.944554,135
CBK.DE,0.995,3.143165,3.986623,0.099972,0.562659,0.9,1.177838,539
CBK.DE,0.995,3.114392,4.204269,0.226608,0.499999,0.95,1.601188,270
CBK.DE,0.995,3.214328,3.997446,-0.003414,0.790127,0.975,1.944554,135
DBK.DE,0.99,2.763182,3.613236,0.094119,0.62,0.9,1.168937,539
DBK.DE,0.99,2.700456,3.665683,0.201685,0.556741,0.95,1.640318,270
DBK.DE,0.99,2.743526,3.647826,0.09338,0.752481,0.975,2.022006,135
DBK.DE,0.995,3.314734,4.222093,0.094119,0.62,0.9,1.168937,539
DBK.DE,0.995,3.2737,4.383751,0.201685,0.556741,0.95,1.640318,270
DBK.DE,0.995,3.330602,4.295369,0.09338,0.752481,0.975,2.022006,135
GLE.PA,0.99,2.681898,3.617101,0.163096,0.537616,0.9,1.179354,539
GLE.PA,0.99,2.645236,3.64461,0.216987,0.551617,0.95,1.581089,270
GLE.PA,0.99,2.629913,3.638502,0.252511,0.597876,0.975,2.011987,135
GLE.PA,0.995,3.256261,4.303396,0.163096,0.537616,0.9,1.179354,539
GLE.PA,0.995,3.230554,4.392129,0.216987,0.551617,0.95,1.581089,270
GLE.PA,0.995,3.201004,4.402515,0.252511,0.597876,0.975,2.011987,135
INGA.AS,0.99,2.756957,3.749673,0.174399,0.548507,0.9,1.202589,539
INGA.AS,0.99,2.770365,3.757996,0.157133,0.646225,0.95,1.58527,270
INGA.AS,0.99,2.73217,3.779096,0.235275,0.645042,0.975,2.070947,135
INGA.AS,0.995,3.360815,4.481089,0.174399,0.548507,0.9,1.202589,539
INGA.AS,0.995,3.379965,4.481242,0.157133,0.646225,0.95,1.58527,270
INGA.AS,0.995,3.334924,4.567294,0.235275,0.645042,0.975,2.070947,135
ISP.MI,0.99,2.7401,3.538415,0.078239,0.614536,0.9,1.189471,539
ISP.MI,0.99,2.715763,3.532093,0.105712,0.615687,0.95,1.634078,270
ISP.MI,0.99,2.683743,3.509005,0.168499,0.587833,0.975,2.099913,135
ISP.MI,0.995,3.26424,4.107044,0.078239,0.614536,0.9,1.189471,539
ISP.MI,0.995,3.240785,4.119176,0.105712,0.615687,0.95,1.634078,270
ISP.MI,0.995,3.188275,4.115778,0.168499,0.587833,0.975,2.099913,135
SAN.MC,0.99,2.629161,3.364695,0.095712,0.533569,0.9,1.254551,539
SAN.MC,0.99,2.638307,3.364829,0.081609,0.585008,0.95,1.630782,270
SAN.MC,0.99,2.588483,3.339984,0.16456,0.539776,0.975,2.053375,135
SAN.MC,0.995,3.105834,3.891821,0.095712,0.533569,0.9,1.254551,539
SAN.MC,0.995,3.114127,3.882932,0.081609,0.585008,0.95,1.630782,270
SAN.MC,0.995,3.049455,3.891755,0.16456,0.539776,0.975,2.053375,135
