,asset,date,type,return,loss
0,BBVA.MC,2016-06-24,largest_negative_return,-0.176489,0.176489
1,BBVA.MC,2020-03-12,largest_negative_return,-0.163416,0.163416
2,BBVA.MC,2020-03-16,largest_negative_return,-0.143505,0.143505
3,BBVA.MC,2020-03-09,largest_negative_return,-0.141643,0.141643
4,BBVA.MC,2008-10-10,largest_negative_return,-0.121034,0.121034
5,BBVA.MC,2023-03-15,largest_negative_return,-0.100886,0.100886
6,BBVA.MC,2025-04-04,largest_negative_return,-0.098426,0.098426
7,BBVA.MC,2009-03-02,largest_negative_return,-0.097904,0.097904
8,BBVA.MC,2022-06-10,largest_negative_return,-0.095721,0.095721
9,BBVA.MC,2008-10-22,largest_negative_return,-0.09541,0.09541
19,BBVA.MC,2009-04-09,largest_positive_return,0.097111,-0.097111
18,BBVA.MC,2011-10-27,largest_positive_return,0.097234,-0.097234
17,BBVA.MC,2009-04-02,largest_positive_return,0.097896,-0.097896
16,BBVA.MC,2012-07-26,largest_positive_return,0.101339,-0.101339
15,BBVA.MC,2020-03-24,largest_positive_return,0.104426,-0.104426
14,BBVA.MC,2008-09-19,largest_positive_return,0.113675,-0.113675
13,BBVA.MC,2008-10-29,largest_positive_return,0.130592,-0.130592
12,BBVA.MC,2020-11-16,largest_positive_return,0.141924,-0.141924
11,BBVA.MC,2020-11-09,largest_positive_return,0.154036,-0.154036
10,BBVA.MC,2010-05-10,largest_positive_return,0.199073,-0.199073
20,BNP.PA,2016-06-24,largest_negative_return,-0.191166,0.191166
21,BNP.PA,2008-12-17,largest_negative_return,-0.189262,0.189262
22,BNP.PA,2011-09-12,largest_negative_return,-0.15583,0.15583
23,BNP.PA,2020-03-16,largest_negative_return,-0.145261,0.145261
24,BNP.PA,2009-01-20,largest_negative_return,-0.143031,0.143031
25,BNP.PA,2020-03-12,largest_negative_return,-0.140042,0.140042
26,BNP.PA,2011-11-01,largest_negative_return,-0.139945,0.139945
27,BNP.PA,2020-03-09,largest_negative_return,-0.131031,0.131031
28,BNP.PA,2008-11-19,largest_negative_return,-0.118748,0.118748
29,BNP.PA,2008-10-10,largest_negative_return,-0.110958,0.110958
39,BNP.PA,2008-12-08,largest_positive_return,0.12599,-0.12599
38,BNP.PA,2010-05-10,largest_positive_return,0.131301,-0.131301
37,BNP.PA,2011-09-27,largest_positive_return,0.132344,-0.132344
36,BNP.PA,2011-10-27,largest_positive_return,0.15636,-0.15636
35,BNP.PA,2009-01-26,largest_positive_return,0.15642,-0.15642
34,BNP.PA,2011-09-15,largest_positive_return,0.159221,-0.159221
33,BNP.PA,2008-09-19,largest_positive_return,0.161308,-0.161308
32,BNP.PA,2020-11-09,largest_positive_return,0.165351,-0.165351
31,BNP.PA,2009-03-10,largest_positive_return,0.188343,-0.188343
30,BNP.PA,2009-01-28,largest_positive_return,0.188745,-0.188745
40,CBK.DE,2008-09-29,largest_negative_return,-0.274583,0.274583
41,CBK.DE,2020-03-12,largest_negative_return,-0.238435,0.238435
42,CBK.DE,2008-10-27,largest_negative_return,-0.192206,0.192206
43,CBK.DE,2009-03-30,largest_negative_return,-0.185445,0.185445
44,CBK.DE,2013-05-15,largest_negative_return,-0.178206,0.178206
45,CBK.DE,2008-10-06,largest_negative_return,-0.175294,0.175294
46,CBK.DE,2020-03-09,largest_negative_return,-0.16771,0.16771
47,CBK.DE,2011-11-22,largest_negative_return,-0.16404,0.16404
48,CBK.DE,2008-10-07,largest_negative_return,-0.153171,0.153171
49,CBK.DE,2009-01-08,largest_negative_return,-0.14842,0.14842
59,CBK.DE,2013-08-08,largest_positive_return,0.145374,-0.145374
58,CBK.DE,2009-03-25,largest_positive_return,0.146328,-0.146328
57,CBK.DE,2011-10-27,largest_positive_return,0.152596,-0.152596
56,CBK.DE,2008-10-01,largest_positive_return,0.153051,-0.153051
55,CBK.DE,2024-09-11,largest_positive_return,0.15313,-0.15313
