asset,probability_level,baseline_violation_rate,regime_violation_rate,baseline_kupiec_p_value,regime_kupiec_p_value,baseline_independence_p_value,regime_independence_p_value,baseline_conditional_coverage_p_value,regime_conditional_coverage_p_value,baseline_mean_es_score,regime_mean_es_score,es_score_difference_regime_minus_baseline,es_score_improvement_percent,regime_score_improves
BBVA.MC,0.99,0.008721,0.008908,0.334877,0.416768,0.363084,0.441244,0.415376,0.534605,0.032632,0.030389,-0.002243,6.874415,True
BBVA.MC,0.995,0.00501,0.005118,0.991528,0.904048,0.602016,0.598133,0.872809,0.864005,0.035635,0.033549,-0.002087,5.856143,True
BNP.PA,0.99,0.010577,0.009287,0.673153,0.598497,0.024762,0.480887,0.073594,0.67905,0.028016,0.025591,-0.002424,8.654018,True
BNP.PA,0.995,0.004454,0.00398,0.5622,0.276139,0.643057,0.68201,0.759316,0.508173,0.028076,0.026986,-0.00109,3.881704,True
CBK.DE,0.99,0.012062,0.011562,0.140666,0.265913,0.812816,0.232198,0.328452,0.26381,0.050172,0.045712,-0.004459,8.888238,True
CBK.DE,0.995,0.005938,0.006444,0.343101,0.15459,0.536334,0.506573,0.52698,0.291198,0.05499,0.047416,-0.007574,13.774198,True
DBK.DE,0.99,0.010392,0.009287,0.774082,0.598497,0.615058,0.480887,0.845664,0.67905,0.042486,0.039078,-0.003408,8.021322,True
DBK.DE,0.995,0.005752,0.004928,0.444432,0.940732,0.549182,0.611792,0.623879,0.876735,0.048323,0.043306,-0.005016,10.381131,True
GLE.PA,0.99,0.009464,0.009287,0.689713,0.598497,0.323506,0.337769,0.567192,0.549869,0.043604,0.039189,-0.004415,10.126,True
GLE.PA,0.995,0.004268,0.004549,0.434434,0.63709,0.656987,0.639507,0.667596,0.801735,0.050605,0.045103,-0.005502,10.872037,True
INGA.AS,0.99,0.009464,0.009287,0.689713,0.598497,0.09764,0.337769,0.234209,0.549869,0.040477,0.03866,-0.001817,4.489463,True
INGA.AS,0.995,0.005938,0.005307,0.343101,0.754233,0.186792,0.584611,0.266928,0.820022,0.044797,0.043202,-0.001595,3.561045,True
ISP.MI,0.99,0.009464,0.010045,0.689713,0.973529,0.323506,0.299627,0.567192,0.583637,0.034111,0.031798,-0.002313,6.780513,True
ISP.MI,0.995,0.003897,0.004928,0.23225,0.940732,0.685194,0.611792,0.451273,0.876735,0.037521,0.033703,-0.003818,10.175553,True
SAN.MC,0.99,0.009649,0.010804,0.794651,0.562492,0.314064,0.264446,0.582383,0.453677,0.029499,0.028223,-0.001276,4.32458,True
SAN.MC,0.995,0.004082,0.004359,0.323852,0.499957,0.671034,0.653555,0.561659,0.720192,0.032611,0.030224,-0.002387,7.31984,True
