asset,probability_level,baseline_observations,baseline_expected_violations,baseline_violation_count,baseline_violation_rate,baseline_kupiec_p_value,baseline_independence_p_value,baseline_conditional_coverage_p_value,regime_observations,regime_expected_violations,regime_violation_count,regime_violation_rate,regime_kupiec_p_value,regime_independence_p_value,regime_conditional_coverage_p_value,baseline_mean_es_score,baseline_median_es_score,baseline_std_es_score,baseline_es_violation_count,baseline_es_violation_rate,baseline_mean_var,baseline_mean_es,regime_mean_es_score,regime_median_es_score,regime_std_es_score,regime_es_violation_count,regime_es_violation_rate,regime_mean_var,regime_mean_es,es_score_difference_regime_minus_baseline,es_score_improvement_percent,regime_score_improves,baseline_passes_kupiec_5pct,regime_passes_kupiec_5pct,baseline_passes_independence_5pct,regime_passes_independence_5pct,baseline_passes_conditional_coverage_5pct,regime_passes_conditional_coverage_5pct
BBVA.MC,0.99,5389,53.89,47,0.008721,0.334877,0.363084,0.415376,5276,52.76,47,0.008908,0.416768,0.441244,0.534605,0.032632,0.014621198074680236,0.25455451577780397,47,0.008721469660419373,0.052815,0.069384,0.030389,0.012368642269080077,0.2229848303130103,47,0.008908263836239575,0.053926,0.070606,-0.002243,6.874415,True,True,True,True,True,True,True
BBVA.MC,0.995,5389,26.945,27,0.00501,0.991528,0.602016,0.872809,5276,26.38,27,0.005118,0.904048,0.598133,0.864005,0.035635,0.015953823757906146,0.39307739345256293,27,0.005010205975134533,0.063295,0.08139,0.033549,0.012930540983263222,0.32989256500923253,27,0.00511751326762699,0.064565,0.082645,-0.002087,5.856143,True,True,True,True,True,True,True
BNP.PA,0.99,5389,53.89,57,0.010577,0.673153,0.024762,0.073594,5276,52.76,49,0.009287,0.598497,0.480887,0.67905,0.028016,0.012964600970966217,0.24071183848570074,57,0.010577101503061792,0.054824,0.070253,0.025591,0.011403130328551704,0.2178560857660585,49,0.009287338893100834,0.055577,0.07092,-0.002424,8.654018,True,True,True,False,True,True,True
BNP.PA,0.995,5389,26.945,24,0.004454,0.5622,0.643057,0.759316,5276,26.38,21,0.00398,0.276139,0.68201,0.508173,0.028076,0.013593802849034789,0.400991084699854,24,0.004453516422341808,0.064992,0.081224,0.026986,0.011554439177779638,0.37230740351560115,21,0.003980288097043215,0.065667,0.081838,-0.00109,3.881704,True,True,True,True,True,True,True
CBK.DE,0.99,5389,53.89,65,0.012062,0.140666,0.812816,0.328452,5276,52.76,61,0.011562,0.265913,0.232198,0.26381,0.050172,0.021956652005276293,0.3602964135521625,65,0.012061606977175728,0.068886,0.093927,0.045712,0.017239511452725825,0.2968573786687888,61,0.011561789234268385,0.070947,0.095465,-0.004459,8.888238,True,True,True,True,True,True,True
CBK.DE,0.995,5389,26.945,32,0.005938,0.343101,0.536334,0.52698,5276,26.38,34,0.006444,0.15459,0.506573,0.291198,0.05499,0.02560496238112038,0.5073073361373349,32,0.005938021896455743,0.083421,0.112722,0.047416,0.01888238092271368,0.37473156276491554,34,0.006444275966641395,0.085706,0.113604,-0.007574,13.774198,True,True,True,True,True,True,True
DBK.DE,0.99,5389,53.89,56,0.010392,0.774082,0.615058,0.845664,5276,52.76,49,0.009287,0.598497,0.480887,0.67905,0.042486,0.01995957800852572,0.28032227970619505,56,0.010391538318797551,0.062215,0.084549,0.039078,0.015584299468461463,0.23538863039358573,49,0.009287338893100834,0.063733,0.085818,-0.003408,8.021322,True,True,True,True,True,True,True
DBK.DE,0.995,5389,26.945,31,0.005752,0.444432,0.549182,0.623879,5276,26.38,26,0.004928,0.940732,0.611792,0.876735,0.048323,0.02291921353678393,0.3912491559970611,31,0.005752458712191501,0.075479,0.101164,0.043306,0.016731880989454335,0.30594746263582223,26,0.004927975739196361,0.077079,0.102127,-0.005016,10.381131,True,True,True,True,True,True,True
GLE.PA,0.99,5389,53.89,51,0.009464,0.689713,0.323506,0.567192,5276,52.76,49,0.009287,0.598497,0.337769,0.549869,0.043604,0.020260676732730402,0.34133599549271904,51,0.00946372239747634,0.063165,0.087213,0.039189,0.01796740520567463,0.2924801837802427,49,0.009287338893100834,0.06511,0.088145,-0.004415,10.126,True,True,True,True,True,True,True
GLE.PA,0.995,5389,26.945,23,0.004268,0.434434,0.656987,0.667596,5276,26.38,24,0.004549,0.63709,0.639507,0.801735,0.050605,0.023493562840530557,0.5541826688080587,23,0.004267953238077565,0.077249,0.1052,0.045103,0.021216406506692605,0.47571455352385783,24,0.004548900682335102,0.07875,0.105298,-0.005502,10.872037,True,True,True,True,True,True,True
INGA.AS,0.99,5389,53.89,51,0.009464,0.689713,0.09764,0.234209,5276,52.76,49,0.009287,0.598497,0.337769,0.549869,0.040477,0.017250581030682076,0.2937574983024034,51,0.00946372239747634,0.061335,0.083379,0.03866,0.01534975187969324,0.24086923747486744,49,0.009287338893100834,0.063683,0.087237,-0.001817,4.489463,True,True,True,True,True,True,True
