asset,event_date,window_date,days_from_event,event_type,event_return,event_loss,price,return
INGA.AS,2008-09-19,2008-09-16,-3,largest_positive_return,0.192476,-0.192476,7.457747,-0.091568
INGA.AS,2008-09-19,2008-09-17,-2,largest_positive_return,0.192476,-0.192476,7.089972,-0.050572
INGA.AS,2008-09-19,2008-09-18,-1,largest_positive_return,0.192476,-0.192476,6.873389,-0.031024
INGA.AS,2008-09-19,2008-09-19,0,largest_positive_return,0.192476,-0.192476,8.332247,0.192476
INGA.AS,2008-09-19,2008-09-22,1,largest_positive_return,0.192476,-0.192476,7.866393,-0.057533
INGA.AS,2008-09-19,2008-09-23,2,largest_positive_return,0.192476,-0.192476,7.523134,-0.044617
INGA.AS,2008-09-19,2008-09-24,3,largest_positive_return,0.192476,-0.192476,7.277946,-0.033134
INGA.AS,2008-09-29,2008-09-24,-3,largest_negative_return,-0.200797,0.200797,7.277946,-0.033134
INGA.AS,2008-09-29,2008-09-25,-2,largest_negative_return,-0.200797,0.200797,7.702936,0.056753
INGA.AS,2008-09-29,2008-09-26,-1,largest_negative_return,-0.200797,0.200797,7.165568,-0.072314
INGA.AS,2008-09-29,2008-09-29,0,largest_negative_return,-0.200797,0.200797,5.861997,-0.200797
INGA.AS,2008-09-29,2008-09-30,1,largest_negative_return,-0.200797,0.200797,6.101052,0.039971
INGA.AS,2008-09-29,2008-10-01,2,largest_negative_return,-0.200797,0.200797,6.477004,0.059797
INGA.AS,2008-09-29,2008-10-02,3,largest_negative_return,-0.200797,0.200797,6.640461,0.024923
INGA.AS,2008-10-06,2008-10-01,-3,largest_negative_return,-0.150823,0.150823,6.477004,0.059797
INGA.AS,2008-10-06,2008-10-02,-2,largest_negative_return,-0.150823,0.150823,6.640461,0.024923
INGA.AS,2008-10-06,2008-10-03,-1,largest_negative_return,-0.150823,0.150823,7.355589,0.102279
INGA.AS,2008-10-06,2008-10-06,0,largest_negative_return,-0.150823,0.150823,6.325806,-0.150823
INGA.AS,2008-10-06,2008-10-07,1,largest_negative_return,-0.150823,0.150823,5.855866,-0.077194
INGA.AS,2008-10-06,2008-10-08,2,largest_negative_return,-0.150823,0.150823,5.222469,-0.114474
INGA.AS,2008-10-06,2008-10-09,3,largest_negative_return,-0.150823,0.150823,4.877164,-0.068406
INGA.AS,2008-10-13,2008-10-08,-3,largest_positive_return,0.240648,-0.240648,5.222469,-0.114474
INGA.AS,2008-10-13,2008-10-09,-2,largest_positive_return,0.240648,-0.240648,4.877164,-0.068406
INGA.AS,2008-10-13,2008-10-10,-1,largest_positive_return,0.240648,-0.240648,4.258069,-0.135748
INGA.AS,2008-10-13,2008-10-13,0,largest_positive_return,0.240648,-0.240648,5.416574,0.240648
INGA.AS,2008-10-13,2008-10-14,1,largest_positive_return,0.240648,-0.240648,5.614765,0.035936
INGA.AS,2008-10-13,2008-10-15,2,largest_positive_return,0.240648,-0.240648,4.87512,-0.141255
INGA.AS,2008-10-13,2008-10-16,3,largest_positive_return,0.240648,-0.240648,4.133432,-0.165037
INGA.AS,2008-10-16,2008-10-13,-3,largest_negative_return,-0.165037,0.165037,5.416574,0.240648
INGA.AS,2008-10-16,2008-10-14,-2,largest_negative_return,-0.165037,0.165037,5.614765,0.035936
INGA.AS,2008-10-16,2008-10-15,-1,largest_negative_return,-0.165037,0.165037,4.87512,-0.141255
INGA.AS,2008-10-16,2008-10-16,0,largest_negative_return,-0.165037,0.165037,4.133432,-0.165037
INGA.AS,2008-10-16,2008-10-17,1,largest_negative_return,-0.165037,0.165037,2.997403,-0.321362
INGA.AS,2008-10-16,2008-10-20,2,largest_negative_return,-0.165037,0.165037,3.873943,0.256527
INGA.AS,2008-10-16,2008-10-21,3,largest_negative_return,-0.165037,0.165037,3.822862,-0.013273
INGA.AS,2008-10-17,2008-10-14,-3,largest_negative_return,-0.321362,0.321362,5.614765,0.035936
INGA.AS,2008-10-17,2008-10-15,-2,largest_negative_return,-0.321362,0.321362,4.87512,-0.141255
INGA.AS,2008-10-17,2008-10-16,-1,largest_negative_return,-0.321362,0.321362,4.133432,-0.165037
INGA.AS,2008-10-17,2008-10-17,0,largest_negative_return,-0.321362,0.321362,2.997403,-0.321362
INGA.AS,2008-10-17,2008-10-20,1,largest_negative_return,-0.321362,0.321362,3.873943,0.256527
INGA.AS,2008-10-17,2008-10-21,2,largest_negative_return,-0.321362,0.321362,3.822862,-0.013273
INGA.AS,2008-10-17,2008-10-22,3,largest_negative_return,-0.321362,0.321362,3.401959,-0.116648
INGA.AS,2008-10-20,2008-10-15,-3,largest_positive_return,0.256527,-0.256527,4.87512,-0.141255
INGA.AS,2008-10-20,2008-10-16,-2,largest_positive_return,0.256527,-0.256527,4.133432,-0.165037
INGA.AS,2008-10-20,2008-10-17,-1,largest_positive_return,0.256527,-0.256527,2.997403,-0.321362
INGA.AS,2008-10-20,2008-10-20,0,largest_positive_return,0.256527,-0.256527,3.873943,0.256527
INGA.AS,2008-10-20,2008-10-21,1,largest_positive_return,0.256527,-0.256527,3.822862,-0.013273
INGA.AS,2008-10-20,2008-10-22,2,largest_positive_return,0.256527,-0.256527,3.401959,-0.116648
INGA.AS,2008-10-20,2008-10-23,3,largest_positive_return,0.256527,-0.256527,3.310015,-0.027399
INGA.AS,2008-11-04,2008-10-30,-3,largest_positive_return,0.178261,-0.178261,2.889112,0.098001
INGA.AS,2008-11-04,2008-10-31,-2,largest_positive_return,0.178261,-0.178261,2.956538,0.02307
INGA.AS,2008-11-04,2008-11-03,-1,largest_positive_return,0.178261,-0.178261,3.109781,0.050533
INGA.AS,2008-11-04,2008-11-04,0,largest_positive_return,0.178261,-0.178261,3.716615,0.178261
