asset,conditioning_asset,tail_dependence_calm,tail_dependence_stress,pairwise_stress_activation
DBK.DE,CBK.DE,0.383886,0.698113,0.314227
CBK.DE,DBK.DE,0.383886,0.698113,0.314227
CBK.DE,INGA.AS,0.364929,0.622642,0.257713
INGA.AS,CBK.DE,0.364929,0.622642,0.257713
INGA.AS,DBK.DE,0.417062,0.622642,0.20558
DBK.DE,INGA.AS,0.417062,0.622642,0.20558
BBVA.MC,SAN.MC,0.611374,0.792453,0.181078
SAN.MC,BBVA.MC,0.611374,0.792453,0.181078
BBVA.MC,CBK.DE,0.336493,0.509434,0.172941
CBK.DE,BBVA.MC,0.336493,0.509434,0.172941
CBK.DE,ISP.MI,0.336493,0.509434,0.172941
ISP.MI,CBK.DE,0.336493,0.509434,0.172941
INGA.AS,BBVA.MC,0.393365,0.566038,0.172673
BBVA.MC,INGA.AS,0.393365,0.566038,0.172673
SAN.MC,CBK.DE,0.341232,0.509434,0.168202
CBK.DE,SAN.MC,0.341232,0.509434,0.168202
BNP.PA,CBK.DE,0.364929,0.528302,0.163373
CBK.DE,BNP.PA,0.364929,0.528302,0.163373
GLE.PA,BBVA.MC,0.421801,0.584906,0.163105
BBVA.MC,GLE.PA,0.421801,0.584906,0.163105
CBK.DE,GLE.PA,0.369668,0.509434,0.139766
GLE.PA,CBK.DE,0.369668,0.509434,0.139766
BBVA.MC,DBK.DE,0.388626,0.528302,0.139676
DBK.DE,BBVA.MC,0.388626,0.528302,0.139676
DBK.DE,SAN.MC,0.43128,0.566038,0.134758
SAN.MC,DBK.DE,0.43128,0.566038,0.134758
SAN.MC,GLE.PA,0.440758,0.566038,0.125279
GLE.PA,SAN.MC,0.440758,0.566038,0.125279
GLE.PA,ISP.MI,0.43128,0.54717,0.11589
ISP.MI,GLE.PA,0.43128,0.54717,0.11589
SAN.MC,INGA.AS,0.464455,0.566038,0.101583
INGA.AS,SAN.MC,0.464455,0.566038,0.101583
BBVA.MC,BNP.PA,0.450237,0.54717,0.096933
BNP.PA,BBVA.MC,0.450237,0.54717,0.096933
SAN.MC,BNP.PA,0.473934,0.566038,0.092104
BNP.PA,SAN.MC,0.473934,0.566038,0.092104
DBK.DE,ISP.MI,0.402844,0.490566,0.087722
ISP.MI,DBK.DE,0.402844,0.490566,0.087722
INGA.AS,GLE.PA,0.483412,0.566038,0.082625
GLE.PA,INGA.AS,0.483412,0.566038,0.082625
GLE.PA,DBK.DE,0.450237,0.528302,0.078065
DBK.DE,GLE.PA,0.450237,0.528302,0.078065
BNP.PA,ISP.MI,0.478673,0.54717,0.068497
ISP.MI,BNP.PA,0.478673,0.54717,0.068497
ISP.MI,SAN.MC,0.473934,0.528302,0.054368
SAN.MC,ISP.MI,0.473934,0.528302,0.054368
BNP.PA,INGA.AS,0.516588,0.566038,0.04945
INGA.AS,BNP.PA,0.516588,0.566038,0.04945
DBK.DE,BNP.PA,0.469194,0.509434,0.04024
BNP.PA,DBK.DE,0.469194,0.509434,0.04024
INGA.AS,ISP.MI,0.436019,0.471698,0.035679
ISP.MI,INGA.AS,0.436019,0.471698,0.035679
ISP.MI,BBVA.MC,0.492891,0.509434,0.016543
BBVA.MC,ISP.MI,0.492891,0.509434,0.016543
BBVA.MC,BBVA.MC,1.0,1.0,0.0
ISP.MI,ISP.MI,1.0,1.0,0.0
INGA.AS,INGA.AS,1.0,1.0,0.0
GLE.PA,GLE.PA,1.0,1.0,0.0
DBK.DE,DBK.DE,1.0,1.0,0.0
CBK.DE,CBK.DE,1.0,1.0,0.0
BNP.PA,BNP.PA,1.0,1.0,0.0
SAN.MC,SAN.MC,1.0,1.0,0.0
GLE.PA,BNP.PA,0.649289,0.622642,-0.026648
BNP.PA,GLE.PA,0.649289,0.622642,-0.026648
