asset,conditioning_asset,empirical_tail_dependence,copula_tail_dependence,copula_minus_empirical,absolute_difference
INGA.AS,GLE.PA,0.603704,0.49751,-0.106193,0.106193
INGA.AS,ISP.MI,0.574074,0.468905,-0.105169,0.105169
GLE.PA,BNP.PA,0.696296,0.592103,-0.104194,0.104194
GLE.PA,INGA.AS,0.603704,0.500802,-0.102902,0.102902
ISP.MI,INGA.AS,0.574074,0.473136,-0.100939,0.100939
BNP.PA,GLE.PA,0.696296,0.597291,-0.099005,0.099005
INGA.AS,BNP.PA,0.614815,0.51767,-0.097145,0.097145
BNP.PA,INGA.AS,0.614815,0.525662,-0.089153,0.089153
INGA.AS,CBK.DE,0.514815,0.433853,-0.080962,0.080962
CBK.DE,INGA.AS,0.514815,0.435245,-0.07957,0.07957
SAN.MC,BBVA.MC,0.725926,0.651512,-0.074414,0.074414
SAN.MC,GLE.PA,0.574074,0.502091,-0.071983,0.071983
GLE.PA,SAN.MC,0.574074,0.50653,-0.067544,0.067544
BBVA.MC,SAN.MC,0.725926,0.662246,-0.06368,0.06368
GLE.PA,BBVA.MC,0.559259,0.499308,-0.059951,0.059951
BBVA.MC,GLE.PA,0.559259,0.503087,-0.056172,0.056172
SAN.MC,ISP.MI,0.544444,0.492152,-0.052293,0.052293
CBK.DE,BNP.PA,0.488889,0.439882,-0.049007,0.049007
ISP.MI,SAN.MC,0.544444,0.497689,-0.046755,0.046755
ISP.MI,DBK.DE,0.5,0.454241,-0.045759,0.045759
ISP.MI,BBVA.MC,0.544444,0.49911,-0.045334,0.045334
INGA.AS,DBK.DE,0.52963,0.484747,-0.044883,0.044883
BNP.PA,CBK.DE,0.488889,0.445244,-0.043645,0.043645
BBVA.MC,ISP.MI,0.544444,0.501689,-0.042756,0.042756
INGA.AS,BBVA.MC,0.518519,0.475983,-0.042535,0.042535
BBVA.MC,DBK.DE,0.522222,0.480024,-0.042199,0.042199
CBK.DE,GLE.PA,0.492593,0.450508,-0.042085,0.042085
DBK.DE,ISP.MI,0.5,0.458573,-0.041427,0.041427
GLE.PA,CBK.DE,0.492593,0.452038,-0.040554,0.040554
DBK.DE,BBVA.MC,0.522222,0.482111,-0.040111,0.040111
ISP.MI,BNP.PA,0.544444,0.505824,-0.03862,0.03862
GLE.PA,ISP.MI,0.52963,0.491556,-0.038074,0.038074
ISP.MI,GLE.PA,0.52963,0.492731,-0.036899,0.036899
SAN.MC,INGA.AS,0.514815,0.478949,-0.035865,0.035865
DBK.DE,INGA.AS,0.52963,0.493785,-0.035845,0.035845
BBVA.MC,INGA.AS,0.518519,0.482759,-0.03576,0.03576
BNP.PA,ISP.MI,0.544444,0.50904,-0.035404,0.035404
INGA.AS,SAN.MC,0.514815,0.480008,-0.034807,0.034807
SAN.MC,DBK.DE,0.52963,0.495572,-0.034058,0.034058
BBVA.MC,BNP.PA,0.548148,0.514511,-0.033637,0.033637
BNP.PA,BBVA.MC,0.548148,0.515122,-0.033027,0.033027
SAN.MC,BNP.PA,0.548148,0.516288,-0.03186,0.03186
GLE.PA,DBK.DE,0.533333,0.504625,-0.028708,0.028708
DBK.DE,SAN.MC,0.52963,0.505927,-0.023702,0.023702
BNP.PA,SAN.MC,0.548148,0.525417,-0.022731,0.022731
DBK.DE,GLE.PA,0.533333,0.510655,-0.022678,0.022678
BNP.PA,DBK.DE,0.540741,0.519386,-0.021355,0.021355
CBK.DE,ISP.MI,0.433333,0.412279,-0.021054,0.021054
DBK.DE,BNP.PA,0.540741,0.521027,-0.019714,0.019714
ISP.MI,CBK.DE,0.433333,0.414668,-0.018665,0.018665
SAN.MC,CBK.DE,0.440741,0.426659,-0.014082,0.014082
CBK.DE,SAN.MC,0.440741,0.428973,-0.011767,0.011767
CBK.DE,BBVA.MC,0.422222,0.414113,-0.008109,0.008109
CBK.DE,DBK.DE,0.492593,0.484944,-0.007649,0.007649
BBVA.MC,CBK.DE,0.422222,0.418665,-0.003557,0.003557
DBK.DE,CBK.DE,0.492593,0.492406,-0.000187,0.000187
BBVA.MC,BBVA.MC,1.0,1.0,0.0,0.0
ISP.MI,ISP.MI,1.0,1.0,0.0,0.0
INGA.AS,INGA.AS,1.0,1.0,0.0,0.0
GLE.PA,GLE.PA,1.0,1.0,0.0,0.0
DBK.DE,DBK.DE,1.0,1.0,0.0,0.0
CBK.DE,CBK.DE,1.0,1.0,0.0,0.0
BNP.PA,BNP.PA,1.0,1.0,0.0,0.0
SAN.MC,SAN.MC,1.0,1.0,0.0,0.0
