asset_i,asset_j,tail_dependence
BBVA.MC,SAN.MC,0.725926
BNP.PA,GLE.PA,0.696296
BNP.PA,INGA.AS,0.614815
GLE.PA,INGA.AS,0.603704
INGA.AS,ISP.MI,0.574074
GLE.PA,SAN.MC,0.574074
BBVA.MC,GLE.PA,0.559259
BBVA.MC,BNP.PA,0.548148
BNP.PA,SAN.MC,0.548148
ISP.MI,SAN.MC,0.544444
BNP.PA,ISP.MI,0.544444
BBVA.MC,ISP.MI,0.544444
BNP.PA,DBK.DE,0.540741
DBK.DE,GLE.PA,0.533333
DBK.DE,INGA.AS,0.52963
DBK.DE,SAN.MC,0.52963
GLE.PA,ISP.MI,0.52963
BBVA.MC,DBK.DE,0.522222
BBVA.MC,INGA.AS,0.518519
INGA.AS,SAN.MC,0.514815
CBK.DE,INGA.AS,0.514815
DBK.DE,ISP.MI,0.5
