asset,conditioning_asset,quantile_level,threshold_asset,threshold_conditioning_asset,observations,asset_exceedance_count,conditioning_exceedance_count,joint_exceedance_count,tail_dependence
BBVA.MC,BBVA.MC,0.9,0.022473,0.022473,5389,539,539,539,1.0
BNP.PA,BBVA.MC,0.9,0.023319,0.022473,5389,539,539,307,0.569573
CBK.DE,BBVA.MC,0.9,0.030727,0.022473,5389,539,539,261,0.48423
DBK.DE,BBVA.MC,0.9,0.025664,0.022473,5389,539,539,287,0.532468
GLE.PA,BBVA.MC,0.9,0.026399,0.022473,5389,539,539,299,0.554731
INGA.AS,BBVA.MC,0.9,0.023698,0.022473,5389,539,539,303,0.562152
ISP.MI,BBVA.MC,0.9,0.023416,0.022473,5389,539,539,302,0.560297
SAN.MC,BBVA.MC,0.9,0.023226,0.022473,5389,539,539,389,0.721707
BBVA.MC,BNP.PA,0.9,0.022473,0.023319,5389,539,539,307,0.569573
BNP.PA,BNP.PA,0.9,0.023319,0.023319,5389,539,539,539,1.0
CBK.DE,BNP.PA,0.9,0.030727,0.023319,5389,539,539,294,0.545455
DBK.DE,BNP.PA,0.9,0.025664,0.023319,5389,539,539,311,0.576994
GLE.PA,BNP.PA,0.9,0.026399,0.023319,5389,539,539,385,0.714286
INGA.AS,BNP.PA,0.9,0.023698,0.023319,5389,539,539,338,0.627087
ISP.MI,BNP.PA,0.9,0.023416,0.023319,5389,539,539,308,0.571429
SAN.MC,BNP.PA,0.9,0.023226,0.023319,5389,539,539,316,0.586271
BBVA.MC,CBK.DE,0.9,0.022473,0.030727,5389,539,539,261,0.48423
BNP.PA,CBK.DE,0.9,0.023319,0.030727,5389,539,539,294,0.545455
CBK.DE,CBK.DE,0.9,0.030727,0.030727,5389,539,539,539,1.0
DBK.DE,CBK.DE,0.9,0.025664,0.030727,5389,539,539,298,0.552876
GLE.PA,CBK.DE,0.9,0.026399,0.030727,5389,539,539,291,0.539889
INGA.AS,CBK.DE,0.9,0.023698,0.030727,5389,539,539,288,0.534323
ISP.MI,CBK.DE,0.9,0.023416,0.030727,5389,539,539,267,0.495362
SAN.MC,CBK.DE,0.9,0.023226,0.030727,5389,539,539,267,0.495362
BBVA.MC,DBK.DE,0.9,0.022473,0.025664,5389,539,539,287,0.532468
BNP.PA,DBK.DE,0.9,0.023319,0.025664,5389,539,539,311,0.576994
CBK.DE,DBK.DE,0.9,0.030727,0.025664,5389,539,539,298,0.552876
DBK.DE,DBK.DE,0.9,0.025664,0.025664,5389,539,539,539,1.0
GLE.PA,DBK.DE,0.9,0.026399,0.025664,5389,539,539,311,0.576994
INGA.AS,DBK.DE,0.9,0.023698,0.025664,5389,539,539,300,0.556586
ISP.MI,DBK.DE,0.9,0.023416,0.025664,5389,539,539,280,0.519481
SAN.MC,DBK.DE,0.9,0.023226,0.025664,5389,539,539,298,0.552876
BBVA.MC,GLE.PA,0.9,0.022473,0.026399,5389,539,539,299,0.554731
BNP.PA,GLE.PA,0.9,0.023319,0.026399,5389,539,539,385,0.714286
CBK.DE,GLE.PA,0.9,0.030727,0.026399,5389,539,539,291,0.539889
DBK.DE,GLE.PA,0.9,0.025664,0.026399,5389,539,539,311,0.576994
GLE.PA,GLE.PA,0.9,0.026399,0.026399,5389,539,539,539,1.0
INGA.AS,GLE.PA,0.9,0.023698,0.026399,5389,539,539,330,0.612245
ISP.MI,GLE.PA,0.9,0.023416,0.026399,5389,539,539,302,0.560297
SAN.MC,GLE.PA,0.9,0.023226,0.026399,5389,539,539,302,0.560297
BBVA.MC,INGA.AS,0.9,0.022473,0.023698,5389,539,539,303,0.562152
BNP.PA,INGA.AS,0.9,0.023319,0.023698,5389,539,539,338,0.627087
CBK.DE,INGA.AS,0.9,0.030727,0.023698,5389,539,539,288,0.534323
DBK.DE,INGA.AS,0.9,0.025664,0.023698,5389,539,539,300,0.556586
GLE.PA,INGA.AS,0.9,0.026399,0.023698,5389,539,539,330,0.612245
INGA.AS,INGA.AS,0.9,0.023698,0.023698,5389,539,539,539,1.0
ISP.MI,INGA.AS,0.9,0.023416,0.023698,5389,539,539,304,0.564007
SAN.MC,INGA.AS,0.9,0.023226,0.023698,5389,539,539,306,0.567718
BBVA.MC,ISP.MI,0.9,0.022473,0.023416,5389,539,539,302,0.560297
BNP.PA,ISP.MI,0.9,0.023319,0.023416,5389,539,539,308,0.571429
CBK.DE,ISP.MI,0.9,0.030727,0.023416,5389,539,539,267,0.495362
DBK.DE,ISP.MI,0.9,0.025664,0.023416,5389,539,539,280,0.519481
GLE.PA,ISP.MI,0.9,0.026399,0.023416,5389,539,539,302,0.560297
INGA.AS,ISP.MI,0.9,0.023698,0.023416,5389,539,539,304,0.564007
ISP.MI,ISP.MI,0.9,0.023416,0.023416,5389,539,539,539,1.0
SAN.MC,ISP.MI,0.9,0.023226,0.023416,5389,539,539,304,0.564007
BBVA.MC,SAN.MC,0.9,0.022473,0.023226,5389,539,539,389,0.721707
BNP.PA,SAN.MC,0.9,0.023319,0.023226,5389,539,539,316,0.586271
CBK.DE,SAN.MC,0.9,0.030727,0.023226,5389,539,539,267,0.495362
DBK.DE,SAN.MC,0.9,0.025664,0.023226,5389,539,539,298,0.552876
GLE.PA,SAN.MC,0.9,0.026399,0.023226,5389,539,539,302,0.560297
INGA.AS,SAN.MC,0.9,0.023698,0.023226,5389,539,539,306,0.567718
ISP.MI,SAN.MC,0.9,0.023416,0.023226,5389,539,539,304,0.564007
SAN.MC,SAN.MC,0.9,0.023226,0.023226,5389,539,539,539,1.0
BBVA.MC,BBVA.MC,0.95,0.033019,0.033019,5389,270,270,270,1.0
BNP.PA,BBVA.MC,0.95,0.034102,0.033019,5389,270,270,148,0.548148
CBK.DE,BBVA.MC,0.95,0.04348,0.033019,5389,270,270,114,0.422222
DBK.DE,BBVA.MC,0.95,0.038325,0.033019,5389,270,270,141,0.522222
GLE.PA,BBVA.MC,0.95,0.039661,0.033019,5389,270,270,151,0.559259
INGA.AS,BBVA.MC,0.95,0.038026,0.033019,5389,270,270,140,0.518519
ISP.MI,BBVA.MC,0.95,0.033893,0.033019,5389,270,270,147,0.544444
SAN.MC,BBVA.MC,0.95,0.032336,0.033019,5389,270,270,196,0.725926
BBVA.MC,BNP.PA,0.95,0.033019,0.034102,5389,270,270,148,0.548148
BNP.PA,BNP.PA,0.95,0.034102,0.034102,5389,270,270,270,1.0
CBK.DE,BNP.PA,0.95,0.04348,0.034102,5389,270,270,132,0.488889
DBK.DE,BNP.PA,0.95,0.038325,0.034102,5389,270,270,146,0.540741
GLE.PA,BNP.PA,0.95,0.039661,0.034102,5389,270,270,188,0.696296
INGA.AS,BNP.PA,0.95,0.038026,0.034102,5389,270,270,166,0.614815
ISP.MI,BNP.PA,0.95,0.033893,0.034102,5389,270,270,147,0.544444
SAN.MC,BNP.PA,0.95,0.032336,0.034102,5389,270,270,148,0.548148
BBVA.MC,CBK.DE,0.95,0.033019,0.04348,5389,270,270,114,0.422222
BNP.PA,CBK.DE,0.95,0.034102,0.04348,5389,270,270,132,0.488889
CBK.DE,CBK.DE,0.95,0.04348,0.04348,5389,270,270,270,1.0
DBK.DE,CBK.DE,0.95,0.038325,0.04348,5389,270,270,133,0.492593
GLE.PA,CBK.DE,0.95,0.039661,0.04348,5389,270,270,133,0.492593
INGA.AS,CBK.DE,0.95,0.038026,0.04348,5389,270,270,139,0.514815
