asset,conditioning_asset,quantile_level,threshold_asset,threshold_conditioning_asset,observations,asset_exceedance_count,conditioning_exceedance_count,joint_exceedance_count,tail_dependence,stress_regime,regime_label
BBVA.MC,BBVA.MC,0.9,0.018986,0.018986,4221,422,422,422,1.0,0,calm
BNP.PA,BBVA.MC,0.9,0.018478,0.018986,4221,422,422,223,0.528436,0,calm
CBK.DE,BBVA.MC,0.9,0.025346,0.018986,4221,422,422,192,0.454976,0,calm
DBK.DE,BBVA.MC,0.9,0.021096,0.018986,4221,422,422,200,0.473934,0,calm
GLE.PA,BBVA.MC,0.9,0.020998,0.018986,4221,422,422,220,0.521327,0,calm
INGA.AS,BBVA.MC,0.9,0.018298,0.018986,4221,422,422,217,0.514218,0,calm
ISP.MI,BBVA.MC,0.9,0.01984,0.018986,4221,422,422,234,0.554502,0,calm
SAN.MC,BBVA.MC,0.9,0.019514,0.018986,4221,422,422,293,0.694313,0,calm
BBVA.MC,BNP.PA,0.9,0.018986,0.018478,4221,422,422,223,0.528436,0,calm
BNP.PA,BNP.PA,0.9,0.018478,0.018478,4221,422,422,422,1.0,0,calm
CBK.DE,BNP.PA,0.9,0.025346,0.018478,4221,422,422,205,0.485782,0,calm
DBK.DE,BNP.PA,0.9,0.021096,0.018478,4221,422,422,221,0.523697,0,calm
GLE.PA,BNP.PA,0.9,0.020998,0.018478,4221,422,422,277,0.656398,0,calm
INGA.AS,BNP.PA,0.9,0.018298,0.018478,4221,422,422,248,0.587678,0,calm
ISP.MI,BNP.PA,0.9,0.01984,0.018478,4221,422,422,231,0.547393,0,calm
SAN.MC,BNP.PA,0.9,0.019514,0.018478,4221,422,422,228,0.540284,0,calm
BBVA.MC,CBK.DE,0.9,0.018986,0.025346,4221,422,422,192,0.454976,0,calm
BNP.PA,CBK.DE,0.9,0.018478,0.025346,4221,422,422,205,0.485782,0,calm
CBK.DE,CBK.DE,0.9,0.025346,0.025346,4221,422,422,422,1.0,0,calm
DBK.DE,CBK.DE,0.9,0.021096,0.025346,4221,422,422,223,0.528436,0,calm
GLE.PA,CBK.DE,0.9,0.020998,0.025346,4221,422,422,204,0.483412,0,calm
INGA.AS,CBK.DE,0.9,0.018298,0.025346,4221,422,422,203,0.481043,0,calm
ISP.MI,CBK.DE,0.9,0.01984,0.025346,4221,422,422,198,0.469194,0,calm
SAN.MC,CBK.DE,0.9,0.019514,0.025346,4221,422,422,195,0.462085,0,calm
BBVA.MC,DBK.DE,0.9,0.018986,0.021096,4221,422,422,200,0.473934,0,calm
BNP.PA,DBK.DE,0.9,0.018478,0.021096,4221,422,422,221,0.523697,0,calm
CBK.DE,DBK.DE,0.9,0.025346,0.021096,4221,422,422,223,0.528436,0,calm
DBK.DE,DBK.DE,0.9,0.021096,0.021096,4221,422,422,422,1.0,0,calm
GLE.PA,DBK.DE,0.9,0.020998,0.021096,4221,422,422,218,0.516588,0,calm
INGA.AS,DBK.DE,0.9,0.018298,0.021096,4221,422,422,206,0.488152,0,calm
ISP.MI,DBK.DE,0.9,0.01984,0.021096,4221,422,422,198,0.469194,0,calm
SAN.MC,DBK.DE,0.9,0.019514,0.021096,4221,422,422,215,0.509479,0,calm
BBVA.MC,GLE.PA,0.9,0.018986,0.020998,4221,422,422,220,0.521327,0,calm
BNP.PA,GLE.PA,0.9,0.018478,0.020998,4221,422,422,277,0.656398,0,calm
CBK.DE,GLE.PA,0.9,0.025346,0.020998,4221,422,422,204,0.483412,0,calm
DBK.DE,GLE.PA,0.9,0.021096,0.020998,4221,422,422,218,0.516588,0,calm
GLE.PA,GLE.PA,0.9,0.020998,0.020998,4221,422,422,422,1.0,0,calm
INGA.AS,GLE.PA,0.9,0.018298,0.020998,4221,422,422,232,0.549763,0,calm
ISP.MI,GLE.PA,0.9,0.01984,0.020998,4221,422,422,227,0.537915,0,calm
SAN.MC,GLE.PA,0.9,0.019514,0.020998,4221,422,422,224,0.530806,0,calm
BBVA.MC,INGA.AS,0.9,0.018986,0.018298,4221,422,422,217,0.514218,0,calm
BNP.PA,INGA.AS,0.9,0.018478,0.018298,4221,422,422,248,0.587678,0,calm
CBK.DE,INGA.AS,0.9,0.025346,0.018298,4221,422,422,203,0.481043,0,calm
DBK.DE,INGA.AS,0.9,0.021096,0.018298,4221,422,422,206,0.488152,0,calm
GLE.PA,INGA.AS,0.9,0.020998,0.018298,4221,422,422,232,0.549763,0,calm
INGA.AS,INGA.AS,0.9,0.018298,0.018298,4221,422,422,422,1.0,0,calm
ISP.MI,INGA.AS,0.9,0.01984,0.018298,4221,422,422,225,0.533175,0,calm
SAN.MC,INGA.AS,0.9,0.019514,0.018298,4221,422,422,219,0.518957,0,calm
BBVA.MC,ISP.MI,0.9,0.018986,0.01984,4221,422,422,234,0.554502,0,calm
BNP.PA,ISP.MI,0.9,0.018478,0.01984,4221,422,422,231,0.547393,0,calm
CBK.DE,ISP.MI,0.9,0.025346,0.01984,4221,422,422,198,0.469194,0,calm
DBK.DE,ISP.MI,0.9,0.021096,0.01984,4221,422,422,198,0.469194,0,calm
GLE.PA,ISP.MI,0.9,0.020998,0.01984,4221,422,422,227,0.537915,0,calm
INGA.AS,ISP.MI,0.9,0.018298,0.01984,4221,422,422,225,0.533175,0,calm
ISP.MI,ISP.MI,0.9,0.01984,0.01984,4221,422,422,422,1.0,0,calm
SAN.MC,ISP.MI,0.9,0.019514,0.01984,4221,422,422,233,0.552133,0,calm
BBVA.MC,SAN.MC,0.9,0.018986,0.019514,4221,422,422,293,0.694313,0,calm
BNP.PA,SAN.MC,0.9,0.018478,0.019514,4221,422,422,228,0.540284,0,calm
CBK.DE,SAN.MC,0.9,0.025346,0.019514,4221,422,422,195,0.462085,0,calm
DBK.DE,SAN.MC,0.9,0.021096,0.019514,4221,422,422,215,0.509479,0,calm
GLE.PA,SAN.MC,0.9,0.020998,0.019514,4221,422,422,224,0.530806,0,calm
INGA.AS,SAN.MC,0.9,0.018298,0.019514,4221,422,422,219,0.518957,0,calm
ISP.MI,SAN.MC,0.9,0.01984,0.019514,4221,422,422,233,0.552133,0,calm
