asset,probability_level,observations,expected_violations,violation_count,violation_rate,expected_violation_rate,kupiec_lr,kupiec_p_value,independence_lr,independence_p_value,conditional_coverage_lr,conditional_coverage_p_value,n00,n01,n10,n11
BBVA.MC,0.99,5389,53.89,47,0.008721,0.01,0.929945,0.334877,0.827197,0.363084,1.757142,0.415376,5294,47,47,0
BBVA.MC,0.995,5389,26.945,27,0.00501,0.005,0.000113,0.991528,0.271965,0.602016,0.272078,0.872809,5334,27,27,0
BNP.PA,0.99,5389,53.89,57,0.010577,0.01,0.177936,0.673153,5.040443,0.024762,5.218378,0.073594,5277,54,54,3
BNP.PA,0.995,5389,26.945,24,0.004454,0.005,0.335909,0.5622,0.214766,0.643057,0.550675,0.759316,5340,24,24,0
CBK.DE,0.99,5389,53.89,65,0.012062,0.01,2.170656,0.140666,0.056071,0.812816,2.226727,0.328452,5259,64,64,1
CBK.DE,0.995,5389,26.945,32,0.005938,0.005,0.898809,0.343101,0.382377,0.536334,1.281186,0.52698,5324,32,32,0
DBK.DE,0.99,5389,53.89,56,0.010392,0.01,0.082392,0.774082,0.252874,0.615058,0.335266,0.845664,5277,55,55,1
DBK.DE,0.995,5389,26.945,31,0.005752,0.005,0.584813,0.444432,0.358785,0.549182,0.943598,0.623879,5326,31,31,0
GLE.PA,0.99,5389,53.89,51,0.009464,0.01,0.159397,0.689713,0.97472,0.323506,1.134116,0.567192,5286,51,51,0
GLE.PA,0.995,5389,26.945,23,0.004268,0.005,0.610939,0.434434,0.197205,0.656987,0.808144,0.667596,5342,23,23,0
INGA.AS,0.99,5389,53.89,51,0.009464,0.01,0.159397,0.689713,2.743683,0.09764,2.903079,0.234209,5288,49,49,2
INGA.AS,0.995,5389,26.945,32,0.005938,0.005,0.898809,0.343101,1.742743,0.186792,2.641552,0.266928,5325,31,31,1
ISP.MI,0.99,5389,53.89,51,0.009464,0.01,0.159397,0.689713,0.97472,0.323506,1.134116,0.567192,5286,51,51,0
ISP.MI,0.995,5389,26.945,21,0.003897,0.005,1.427026,0.23225,0.164338,0.685194,1.591364,0.451273,5346,21,21,0
SAN.MC,0.99,5389,53.89,52,0.009649,0.01,0.067743,0.794651,1.013509,0.314064,1.081253,0.582383,5284,52,52,0
SAN.MC,0.995,5389,26.945,22,0.004082,0.005,0.973326,0.323852,0.180396,0.671034,1.153721,0.561659,5344,22,22,0
